type,count,amount,name,from,to,year,quarter,state
TOTAL,4200,1845307.4673655091,Recharge & bill payments,1514745000000,1522175400000,2018,1,andaman-&-nicobar-islands
TOTAL,1871,12138655.299749982,Peer-to-peer payments,1514745000000,1522175400000,2018,1,andaman-&-nicobar-islands
TOTAL,298,452507.168646613,Merchant payments,1514745000000,1522175400000,2018,1,andaman-&-nicobar-islands
TOTAL,33,10601.419933464953,Financial Services,1514745000000,1522175400000,2018,1,andaman-&-nicobar-islands
TOTAL,256,184689.8662902223,Others,1514745000000,1522175400000,2018,1,andaman-&-nicobar-islands
TOTAL,6735,2320944.731074479,Recharge & bill payments,1522521000000,1530124200000,2018,2,andaman-&-nicobar-islands
TOTAL,3575,24511925.231047668,Peer-to-peer payments,1522521000000,1530124200000,2018,2,andaman-&-nicobar-islands
TOTAL,603,1024491.0133579008,Merchant payments,1522521000000,1530124200000,2018,2,andaman-&-nicobar-islands
TOTAL,59,121336.0270987509,Financial Services,1522521000000,1530124200000,2018,2,andaman-&-nicobar-islands
TOTAL,368,359838.50537474576,Others,1522521000000,1530124200000,2018,2,andaman-&-nicobar-islands
TOTAL,8636,4343504.868377829,Recharge & bill payments,1530383400000,1538073000000,2018,3,andaman-&-nicobar-islands
TOTAL,6448,49270781.541635044,Peer-to-peer payments,1530383400000,1538073000000,2018,3,andaman-&-nicobar-islands
TOTAL,945,1627359.8394868043,Merchant payments,1530383400000,1538073000000,2018,3,andaman-&-nicobar-islands
TOTAL,42,1481.4907042806485,Financial Services,1530383400000,1538073000000,2018,3,andaman-&-nicobar-islands
TOTAL,194,314343.39410715323,Others,1530383400000,1538073000000,2018,3,andaman-&-nicobar-islands
TOTAL,11517,5450549.512294375,Recharge & bill payments,1538332200000,1545935400000,2018,4,andaman-&-nicobar-islands
TOTAL,10451,81001456.97825177,Peer-to-peer payments,1538332200000,1545935400000,2018,4,andaman-&-nicobar-islands
TOTAL,1421,3552027.735492656,Merchant payments,1538332200000,1545935400000,2018,4,andaman-&-nicobar-islands
TOTAL,29,76035.7877393286,Financial Services,1538332200000,1545935400000,2018,4,andaman-&-nicobar-islands
TOTAL,340,468266.0606770435,Others,1538332200000,1545935400000,2018,4,andaman-&-nicobar-islands
TOTAL,15263,6611459.8729725825,Recharge & bill payments,1546281000000,1553711400000,2019,1,andaman-&-nicobar-islands
TOTAL,13119,91808345.86839552,Peer-to-peer payments,1546281000000,1553711400000,2019,1,andaman-&-nicobar-islands
TOTAL,1759,3266589.8469614363,Merchant payments,1546281000000,1553711400000,2019,1,andaman-&-nicobar-islands
TOTAL,62,116250.43671861099,Financial Services,1546281000000,1553711400000,2019,1,andaman-&-nicobar-islands
TOTAL,283,497094.6484417205,Others,1546281000000,1553711400000,2019,1,andaman-&-nicobar-islands
TOTAL,14676,7242448.256212333,Recharge & bill payments,1554057000000,1561660200000,2019,2,andaman-&-nicobar-islands
TOTAL,14481,107525358.66652842,Peer-to-peer payments,1554057000000,1561660200000,2019,2,andaman-&-nicobar-islands
TOTAL,4031,4702152.616619372,Merchant payments,1554057000000,1561660200000,2019,2,andaman-&-nicobar-islands
TOTAL,124,113278.91371326067,Financial Services,1554057000000,1561660200000,2019,2,andaman-&-nicobar-islands
TOTAL,377,671471.222589792,Others,1554057000000,1561660200000,2019,2,andaman-&-nicobar-islands
TOTAL,16219,8171737.705916681,Recharge & bill payments,1561919400000,1569609000000,2019,3,andaman-&-nicobar-islands
TOTAL,13767,101079821.10344616,Peer-to-peer payments,1561919400000,1569609000000,2019,3,andaman-&-nicobar-islands
TOTAL,3519,4428734.574846684,Merchant payments,1561919400000,1569609000000,2019,3,andaman-&-nicobar-islands
TOTAL,50,158857.94315586874,Financial Services,1561919400000,1569609000000,2019,3,andaman-&-nicobar-islands
TOTAL,215,232624.75992853564,Others,1561919400000,1569609000000,2019,3,andaman-&-nicobar-islands
TOTAL,18128,121493224.30754511,Peer-to-peer payments,1569868200000,1577471400000,2019,4,andaman-&-nicobar-islands
TOTAL,13851,9538690.916424634,Recharge & bill payments,1569868200000,1577471400000,2019,4,andaman-&-nicobar-islands
TOTAL,2920,5247500.487902376,Merchant payments,1569868200000,1577471400000,2019,4,andaman-&-nicobar-islands
TOTAL,60,295937.2110898865,Financial Services,1569868200000,1577471400000,2019,4,andaman-&-nicobar-islands
TOTAL,200,263177.5944158883,Others,1569868200000,1577471400000,2019,4,andaman-&-nicobar-islands
TOTAL,18324,142332401.79234773,Peer-to-peer payments,1577817000000,1585333800000,2020,1,andaman-&-nicobar-islands
TOTAL,18268,10850414.023977457,Recharge & bill payments,1577817000000,1585333800000,2020,1,andaman-&-nicobar-islands
TOTAL,4424,7752871.558217709,Merchant payments,1577817000000,1585333800000,2020,1,andaman-&-nicobar-islands
TOTAL,66,208231.73071652642,Financial Services,1577817000000,1585333800000,2020,1,andaman-&-nicobar-islands
TOTAL,216,332393.19201521645,Others,1577817000000,1585333800000,2020,1,andaman-&-nicobar-islands
