brand,count,percentage,registeredUsers,appOpens,year,quarter,state
Xiaomi,1665,0.2470326409495549,6740,0,2018,1,andaman-&-nicobar-islands
Samsung,1445,0.21439169139465875,6740,0,2018,1,andaman-&-nicobar-islands
Vivo,982,0.1456973293768546,6740,0,2018,1,andaman-&-nicobar-islands
Oppo,501,0.07433234421364986,6740,0,2018,1,andaman-&-nicobar-islands
OnePlus,332,0.04925816023738872,6740,0,2018,1,andaman-&-nicobar-islands
Realme,316,0.04688427299703264,6740,0,2018,1,andaman-&-nicobar-islands
Apple,229,0.03397626112759644,6740,0,2018,1,andaman-&-nicobar-islands
Motorola,226,0.03353115727002967,6740,0,2018,1,andaman-&-nicobar-islands
Lenovo,202,0.02997032640949555,6740,0,2018,1,andaman-&-nicobar-islands
Huawei,158,0.02344213649851632,6740,0,2018,1,andaman-&-nicobar-islands
Others,684,0.10148367952522255,6740,0,2018,1,andaman-&-nicobar-islands
Xiaomi,2303,0.24486975013290802,9405,0,2018,2,andaman-&-nicobar-islands
Samsung,1923,0.20446570972886763,9405,0,2018,2,andaman-&-nicobar-islands
Vivo,1523,0.1619351408825093,9405,0,2018,2,andaman-&-nicobar-islands
Oppo,708,0.07527910685805422,9405,0,2018,2,andaman-&-nicobar-islands
OnePlus,466,0.049548112706007445,9405,0,2018,2,andaman-&-nicobar-islands
Realme,465,0.049441786283891544,9405,0,2018,2,andaman-&-nicobar-islands
Motorola,319,0.03391812865497076,9405,0,2018,2,andaman-&-nicobar-islands
Apple,308,0.03274853801169591,9405,0,2018,2,andaman-&-nicobar-islands
Lenovo,244,0.025943646996278574,9405,0,2018,2,andaman-&-nicobar-islands
Huawei,230,0.024455077086656035,9405,0,2018,2,andaman-&-nicobar-islands
Others,916,0.09739500265816055,9405,0,2018,2,andaman-&-nicobar-islands
Xiaomi,2950,0.24281833895793892,12149,0,2018,3,andaman-&-nicobar-islands
Samsung,2409,0.19828792493209318,12149,0,2018,3,andaman-&-nicobar-islands
Vivo,2063,0.1698082146678739,12149,0,2018,3,andaman-&-nicobar-islands
Oppo,988,0.08132356572557412,12149,0,2018,3,andaman-&-nicobar-islands
OnePlus,617,0.05078607292781299,12149,0,2018,3,andaman-&-nicobar-islands
Realme,603,0.04963371470902955,12149,0,2018,3,andaman-&-nicobar-islands
Motorola,390,0.03210140752325294,12149,0,2018,3,andaman-&-nicobar-islands
Apple,371,0.03053749279776113,12149,0,2018,3,andaman-&-nicobar-islands
Huawei,314,0.0258457486212857,12149,0,2018,3,andaman-&-nicobar-islands
Lenovo,299,0.024611079101160588,12149,0,2018,3,andaman-&-nicobar-islands
Others,1145,0.09424644003621697,12149,0,2018,3,andaman-&-nicobar-islands
Xiaomi,3719,0.24431743529102615,15222,0,2018,4,andaman-&-nicobar-islands
Samsung,2936,0.19287872815661541,15222,0,2018,4,andaman-&-nicobar-islands
Vivo,2742,0.1801340165549862,15222,0,2018,4,andaman-&-nicobar-islands
Oppo,1268,0.08330048613848377,15222,0,2018,4,andaman-&-nicobar-islands
