name,registeredUsers,appOpens,year,quarter,state
north and middle andaman district,632,0,2018,1,andaman-&-nicobar-islands
south andaman district,5846,0,2018,1,andaman-&-nicobar-islands
nicobars district,262,0,2018,1,andaman-&-nicobar-islands
north and middle andaman district,911,0,2018,2,andaman-&-nicobar-islands
south andaman district,8143,0,2018,2,andaman-&-nicobar-islands
nicobars district,351,0,2018,2,andaman-&-nicobar-islands
north and middle andaman district,1208,0,2018,3,andaman-&-nicobar-islands
south andaman district,10474,0,2018,3,andaman-&-nicobar-islands
nicobars district,467,0,2018,3,andaman-&-nicobar-islands
north and middle andaman district,1553,0,2018,4,andaman-&-nicobar-islands
south andaman district,13133,0,2018,4,andaman-&-nicobar-islands
nicobars district,536,0,2018,4,andaman-&-nicobar-islands
north and middle andaman district,2013,0,2019,1,andaman-&-nicobar-islands
south andaman district,15961,0,2019,1,andaman-&-nicobar-islands
nicobars district,622,0,2019,1,andaman-&-nicobar-islands
north and middle andaman district,2417,6118,2019,2,andaman-&-nicobar-islands
south andaman district,18621,43569,2019,2,andaman-&-nicobar-islands
nicobars district,693,2953,2019,2,andaman-&-nicobar-islands
north and middle andaman district,2662,22064,2019,3,andaman-&-nicobar-islands
south andaman district,20518,138190,2019,3,andaman-&-nicobar-islands
nicobars district,751,10853,2019,3,andaman-&-nicobar-islands
north and middle andaman district,2955,26253,2019,4,andaman-&-nicobar-islands
south andaman district,22202,139646,2019,4,andaman-&-nicobar-islands
nicobars district,803,11113,2019,4,andaman-&-nicobar-islands
north and middle andaman district,3315,30444,2020,1,andaman-&-nicobar-islands
south andaman district,24174,151529,2020,1,andaman-&-nicobar-islands
nicobars district,879,11613,2020,1,andaman-&-nicobar-islands
north and middle andaman district,4100,56992,2020,2,andaman-&-nicobar-islands
south andaman district,27626,231071,2020,2,andaman-&-nicobar-islands
nicobars district,984,17009,2020,2,andaman-&-nicobar-islands
north and middle andaman district,5355,76553,2020,3,andaman-&-nicobar-islands
south andaman district,34833,417785,2020,3,andaman-&-nicobar-islands
nicobars district,1147,21227,2020,3,andaman-&-nicobar-islands
north and middle andaman district,7076,125915,2020,4,andaman-&-nicobar-islands
south andaman district,43908,725321,2020,4,andaman-&-nicobar-islands
nicobars district,1412,35972,2020,4,andaman-&-nicobar-islands
north and middle andaman district,7833,121680,2021,1,andaman-&-nicobar-islands
south andaman district,48352,837589,2021,1,andaman-&-nicobar-islands
nicobars district,1573,45067,2021,1,andaman-&-nicobar-islands
north and middle andaman district,8493,596182,2021,2,andaman-&-nicobar-islands
south andaman district,51903,1270226,2021,2,andaman-&-nicobar-islands
nicobars district,1699,381815,2021,2,andaman-&-nicobar-islands
north and middle andaman district,9263,759314,2021,3,andaman-&-nicobar-islands
south andaman district,55873,1771107,2021,3,andaman-&-nicobar-islands
nicobars district,1846,591204,2021,3,andaman-&-nicobar-islands
north and middle andaman district,10002,171921,2021,4,andaman-&-nicobar-islands
south andaman district,59807,1863037,2021,4,andaman-&-nicobar-islands
nicobars district,1971,77952,2021,4,andaman-&-nicobar-islands
east godavari district,350356,0,2018,1,andhra-pradesh
srikakulam district,143839,0,2018,1,andhra-pradesh
visakhapatnam district,497187,0,2018,1,andhra-pradesh
prakasam district,189949,0,2018,1,andhra-pradesh
anantapur district,241192,0,2018,1,andhra-pradesh
kurnool district,240133,0,2018,1,andhra-pradesh
guntur district,317065,0,2018,1,andhra-pradesh
krishna district,323673,0,2018,1,andhra-pradesh
spsr nellore district,194475,0,2018,1,andhra-pradesh
vizianagaram district,128905,0,2018,1,andhra-pradesh
ysr district,186800,0,2018,1,andhra-pradesh
west godavari district,213335,0,2018,1,andhra-pradesh
chittoor district,309541,0,2018,1,andhra-pradesh
east godavari district,454398,0,2018,2,andhra-pradesh
srikakulam district,186913,0,2018,2,andhra-pradesh
visakhapatnam district,636052,0,2018,2,andhra-pradesh
prakasam district,253458,0,2018,2,andhra-pradesh
anantapur district,326383,0,2018,2,andhra-pradesh
kurnool district,319313,0,2018,2,andhra-pradesh
guntur district,420326,0,2018,2,andhra-pradesh
krishna district,431965,0,2018,2,andhra-pradesh
spsr nellore district,261049,0,2018,2,andhra-pradesh
vizianagaram district,167327,0,2018,2,andhra-pradesh
ysr district,248657,0,2018,2,andhra-pradesh
west godavari district,282393,0,2018,2,andhra-pradesh
chittoor district,414306,0,2018,2,andhra-pradesh
east godavari district,558982,0,2018,3,andhra-pradesh
srikakulam district,228456,0,2018,3,andhra-pradesh
visakhapatnam district,769096,0,2018,3,andhra-pradesh
prakasam district,314899,0,2018,3,andhra-pradesh
anantapur district,405855,0,2018,3,andhra-pradesh
kurnool district,394311,0,2018,3,andhra-pradesh
guntur district,518931,0,2018,3,andhra-pradesh
krishna district,537086,0,2018,3,andhra-pradesh
spsr nellore district,322446,0,2018,3,andhra-pradesh
vizianagaram district,203655,0,2018,3,andhra-pradesh
ysr district,308391,0,2018,3,andhra-pradesh
west godavari district,349782,0,2018,3,andhra-pradesh
chittoor district,515727,0,2018,3,andhra-pradesh
east godavari district,694455,0,2018,4,andhra-pradesh
srikakulam district,284874,0,2018,4,andhra-pradesh
visakhapatnam district,978288,0,2018,4,andhra-pradesh
prakasam district,394962,0,2018,4,andhra-pradesh
anantapur district,510892,0,2018,4,andhra-pradesh
kurnool district,498582,0,2018,4,andhra-pradesh
guntur district,659552,0,2018,4,andhra-pradesh
krishna district,682479,0,2018,4,andhra-pradesh
spsr nellore district,407495,0,2018,4,andhra-pradesh
vizianagaram district,257824,0,2018,4,andhra-pradesh
ysr district,387058,0,2018,4,andhra-pradesh
west godavari district,435668,0,2018,4,andhra-pradesh
chittoor district,665280,0,2018,4,andhra-pradesh
east godavari district,839277,0,2019,1,andhra-pradesh
srikakulam district,345775,0,2019,1,andhra-pradesh
visakhapatnam district,1174517,0,2019,1,andhra-pradesh
prakasam district,474260,0,2019,1,andhra-pradesh
anantapur district,612162,0,2019,1,andhra-pradesh
kurnool district,599422,0,2019,1,andhra-pradesh
guntur district,802394,0,2019,1,andhra-pradesh
krishna district,833694,0,2019,1,andhra-pradesh
spsr nellore district,491908,0,2019,1,andhra-pradesh
vizianagaram district,313334,0,2019,1,andhra-pradesh
ysr district,460590,0,2019,1,andhra-pradesh
west godavari district,523372,0,2019,1,andhra-pradesh
chittoor district,812314,0,2019,1,andhra-pradesh
east godavari district,945181,7156762,2019,2,andhra-pradesh
srikakulam district,392764,3230330,2019,2,andhra-pradesh
visakhapatnam district,1318740,13681907,2019,2,andhra-pradesh
prakasam district,539462,4488365,2019,2,andhra-pradesh
anantapur district,695114,6056591,2019,2,andhra-pradesh
kurnool district,680118,6240480,2019,2,andhra-pradesh
guntur district,915256,7268875,2019,2,andhra-pradesh
krishna district,952300,7822632,2019,2,andhra-pradesh
spsr nellore district,558303,4774473,2019,2,andhra-pradesh
vizianagaram district,355058,3541678,2019,2,andhra-pradesh
ysr district,519031,4345848,2019,2,andhra-pradesh
west godavari district,592185,3853094,2019,2,andhra-pradesh
chittoor district,925491,8914216,2019,2,andhra-pradesh
east godavari district,1057167,28275322,2019,3,andhra-pradesh
srikakulam district,437939,11813195,2019,3,andhra-pradesh
visakhapatnam district,1460464,54836001,2019,3,andhra-pradesh
prakasam district,598568,16267041,2019,3,andhra-pradesh
anantapur district,773656,22845084,2019,3,andhra-pradesh
kurnool district,755024,22827473,2019,3,andhra-pradesh
guntur district,1026418,28477132,2019,3,andhra-pradesh
krishna district,1066546,30077671,2019,3,andhra-pradesh
spsr nellore district,619592,17768733,2019,3,andhra-pradesh
vizianagaram district,394375,13065845,2019,3,andhra-pradesh
ysr district,574109,15833900,2019,3,andhra-pradesh
west godavari district,662102,14227407,2019,3,andhra-pradesh
chittoor district,1032733,34638738,2019,3,andhra-pradesh
east godavari district,1195228,38299189,2019,4,andhra-pradesh
srikakulam district,496266,16353822,2019,4,andhra-pradesh
visakhapatnam district,1620235,70749983,2019,4,andhra-pradesh
prakasam district,673522,21639748,2019,4,andhra-pradesh
anantapur district,873033,30278539,2019,4,andhra-pradesh
kurnool district,846885,29676997,2019,4,andhra-pradesh
guntur district,1158708,37846179,2019,4,andhra-pradesh
krishna district,1199971,39407473,2019,4,andhra-pradesh
spsr nellore district,697154,23608360,2019,4,andhra-pradesh
vizianagaram district,443810,17515311,2019,4,andhra-pradesh
ysr district,646642,21543798,2019,4,andhra-pradesh
west godavari district,750078,19393528,2019,4,andhra-pradesh
chittoor district,1156351,44888591,2019,4,andhra-pradesh
east godavari district,1329664,46142746,2020,1,andhra-pradesh
srikakulam district,552007,20975989,2020,1,andhra-pradesh
visakhapatnam district,1763581,77558624,2020,1,andhra-pradesh
prakasam district,748655,26870693,2020,1,andhra-pradesh
anantapur district,971850,36900103,2020,1,andhra-pradesh
kurnool district,936293,34198350,2020,1,andhra-pradesh
guntur district,1289678,45282758,2020,1,andhra-pradesh
krishna district,1331602,46079408,2020,1,andhra-pradesh
spsr nellore district,775440,28879364,2020,1,andhra-pradesh
vizianagaram district,490683,21562104,2020,1,andhra-pradesh
ysr district,717865,26166193,2020,1,andhra-pradesh
west godavari district,843835,24542868,2020,1,andhra-pradesh
chittoor district,1270907,51354573,2020,1,andhra-pradesh
east godavari district,1459116,45884498,2020,2,andhra-pradesh
srikakulam district,608002,23808009,2020,2,andhra-pradesh
visakhapatnam district,1904719,69684456,2020,2,andhra-pradesh
prakasam district,830709,32255276,2020,2,andhra-pradesh
anantapur district,1076953,39704703,2020,2,andhra-pradesh
kurnool district,1035093,36268390,2020,2,andhra-pradesh
guntur district,1426271,44267596,2020,2,andhra-pradesh
krishna district,1459041,41234166,2020,2,andhra-pradesh
spsr nellore district,854459,30816403,2020,2,andhra-pradesh
vizianagaram district,537798,24370380,2020,2,andhra-pradesh
ysr district,796769,29644037,2020,2,andhra-pradesh
west godavari district,944829,26583613,2020,2,andhra-pradesh
chittoor district,1385916,49820171,2020,2,andhra-pradesh
east godavari district,1601940,64292857,2020,3,andhra-pradesh
srikakulam district,667858,31794753,2020,3,andhra-pradesh
visakhapatnam district,2058346,102589371,2020,3,andhra-pradesh
prakasam district,915240,44970519,2020,3,andhra-pradesh
anantapur district,1186851,55714787,2020,3,andhra-pradesh
kurnool district,1132240,49164718,2020,3,andhra-pradesh
guntur district,1567595,62427501,2020,3,andhra-pradesh
krishna district,1599289,61028114,2020,3,andhra-pradesh
spsr nellore district,937176,43951448,2020,3,andhra-pradesh
vizianagaram district,587784,31199437,2020,3,andhra-pradesh
ysr district,877909,41578067,2020,3,andhra-pradesh
west godavari district,1053674,38126238,2020,3,andhra-pradesh
chittoor district,1506503,69462572,2020,3,andhra-pradesh
east godavari district,1746280,82605352,2020,4,andhra-pradesh
srikakulam district,726761,36770992,2020,4,andhra-pradesh
visakhapatnam district,2209658,124730170,2020,4,andhra-pradesh
prakasam district,999462,52839846,2020,4,andhra-pradesh
anantapur district,1295872,69562398,2020,4,andhra-pradesh
kurnool district,1230466,60615045,2020,4,andhra-pradesh
guntur district,1712940,81291172,2020,4,andhra-pradesh
krishna district,1744028,81787771,2020,4,andhra-pradesh
spsr nellore district,1022944,54765443,2020,4,andhra-pradesh
vizianagaram district,634462,35110885,2020,4,andhra-pradesh
ysr district,959182,49596303,2020,4,andhra-pradesh
west godavari district,1163179,51170162,2020,4,andhra-pradesh
chittoor district,1631331,88232999,2020,4,andhra-pradesh
east godavari district,1878769,91478749,2021,1,andhra-pradesh
srikakulam district,782604,40590058,2021,1,andhra-pradesh
visakhapatnam district,2368081,135908324,2021,1,andhra-pradesh
prakasam district,1075936,56911479,2021,1,andhra-pradesh
anantapur district,1394849,73375049,2021,1,andhra-pradesh
kurnool district,1323411,65326230,2021,1,andhra-pradesh
guntur district,1843237,92731167,2021,1,andhra-pradesh
krishna district,1876458,92941553,2021,1,andhra-pradesh
spsr nellore district,1100541,60691988,2021,1,andhra-pradesh
vizianagaram district,681621,37752539,2021,1,andhra-pradesh
ysr district,1032689,53525815,2021,1,andhra-pradesh
west godavari district,1254117,57392671,2021,1,andhra-pradesh
chittoor district,1751420,99083825,2021,1,andhra-pradesh
east godavari district,2006272,84705076,2021,2,andhra-pradesh
srikakulam district,837958,43740255,2021,2,andhra-pradesh
visakhapatnam district,2526830,114313154,2021,2,andhra-pradesh
prakasam district,1151232,76850749,2021,2,andhra-pradesh
anantapur district,1492738,104568606,2021,2,andhra-pradesh
kurnool district,1415585,81894678,2021,2,andhra-pradesh
guntur district,1968681,88248064,2021,2,andhra-pradesh
krishna district,2002662,85771678,2021,2,andhra-pradesh
spsr nellore district,1176334,74049216,2021,2,andhra-pradesh
vizianagaram district,729509,42684475,2021,2,andhra-pradesh
ysr district,1103004,72255265,2021,2,andhra-pradesh
west godavari district,1339377,65118788,2021,2,andhra-pradesh
chittoor district,1870723,110505432,2021,2,andhra-pradesh
east godavari district,2150622,103626560,2021,3,andhra-pradesh
srikakulam district,902008,48622126,2021,3,andhra-pradesh
visakhapatnam district,2707931,139540800,2021,3,andhra-pradesh
prakasam district,1239147,91533813,2021,3,andhra-pradesh
anantapur district,1606735,124985545,2021,3,andhra-pradesh
kurnool district,1522196,101210508,2021,3,andhra-pradesh
guntur district,2110878,106621413,2021,3,andhra-pradesh
krishna district,2145423,104358295,2021,3,andhra-pradesh
spsr nellore district,1263550,90102349,2021,3,andhra-pradesh
vizianagaram district,784444,46277311,2021,3,andhra-pradesh
ysr district,1183377,86369956,2021,3,andhra-pradesh
west godavari district,1436576,80244808,2021,3,andhra-pradesh
chittoor district,2007011,135043395,2021,3,andhra-pradesh
east godavari district,2294347,142536856,2021,4,andhra-pradesh
srikakulam district,965335,61654215,2021,4,andhra-pradesh
visakhapatnam district,2888774,188757640,2021,4,andhra-pradesh
prakasam district,1325728,86410317,2021,4,andhra-pradesh
anantapur district,1719437,120768682,2021,4,andhra-pradesh
kurnool district,1628242,97379271,2021,4,andhra-pradesh
guntur district,2252443,130920743,2021,4,andhra-pradesh
krishna district,2288148,134436469,2021,4,andhra-pradesh
spsr nellore district,1349290,90814672,2021,4,andhra-pradesh
vizianagaram district,839606,56101822,2021,4,andhra-pradesh
ysr district,1262963,83534122,2021,4,andhra-pradesh
west godavari district,1532898,100007280,2021,4,andhra-pradesh
chittoor district,2141818,154395512,2021,4,andhra-pradesh
lower subansiri district,498,0,2018,1,arunachal-pradesh
tirap district,557,0,2018,1,arunachal-pradesh
papum pare district,7649,0,2018,1,arunachal-pradesh
anjaw district,278,0,2018,1,arunachal-pradesh
lower siang district,270,0,2018,1,arunachal-pradesh
dibang valley district,66,0,2018,1,arunachal-pradesh
west kameng district,2202,0,2018,1,arunachal-pradesh
shi yomi district,49,0,2018,1,arunachal-pradesh
east kameng district,222,0,2018,1,arunachal-pradesh
