type,count,amount,name,year,quarter,state
TOTAL,442,931663.0770939873,north and middle andaman district,2018,1,andaman-&-nicobar-islands
TOTAL,5688,12560249.34366581,south andaman district,2018,1,andaman-&-nicobar-islands
TOTAL,528,1139848.801225994,nicobars district,2018,1,andaman-&-nicobar-islands
TOTAL,825,1317863.0834906558,north and middle andaman district,2018,2,andaman-&-nicobar-islands
TOTAL,9395,23948235.51634325,south andaman district,2018,2,andaman-&-nicobar-islands
TOTAL,1120,3072436.9081196385,nicobars district,2018,2,andaman-&-nicobar-islands
TOTAL,1283,4901529.518499676,north and middle andaman district,2018,3,andaman-&-nicobar-islands
TOTAL,13511,44268112.46425246,south andaman district,2018,3,andaman-&-nicobar-islands
TOTAL,1471,6387829.151558982,nicobars district,2018,3,andaman-&-nicobar-islands
TOTAL,2137,7955635.917688001,north and middle andaman district,2018,4,andaman-&-nicobar-islands
TOTAL,20136,75411840.8018554,south andaman district,2018,4,andaman-&-nicobar-islands
TOTAL,1485,7180859.354911782,nicobars district,2018,4,andaman-&-nicobar-islands
TOTAL,3264,9561708.736298349,north and middle andaman district,2019,1,andaman-&-nicobar-islands
TOTAL,25683,85501972.38780196,south andaman district,2019,1,andaman-&-nicobar-islands
TOTAL,1539,7236059.549389593,nicobars district,2019,1,andaman-&-nicobar-islands
TOTAL,3371,8612103.137888122,north and middle andaman district,2019,2,andaman-&-nicobar-islands
TOTAL,28490,102530955.71341258,south andaman district,2019,2,andaman-&-nicobar-islands
TOTAL,1828,9111650.82436246,nicobars district,2019,2,andaman-&-nicobar-islands
TOTAL,4049,11481466.283356793,north and middle andaman district,2019,3,andaman-&-nicobar-islands
TOTAL,27421,91023888.32848613,south andaman district,2019,3,andaman-&-nicobar-islands
TOTAL,2300,11566421.475451011,nicobars district,2019,3,andaman-&-nicobar-islands
TOTAL,4716,13524056.784573946,north and middle andaman district,2019,4,andaman-&-nicobar-islands
TOTAL,27843,110930312.20611623,south andaman district,2019,4,andaman-&-nicobar-islands
TOTAL,2600,12384161.52668771,nicobars district,2019,4,andaman-&-nicobar-islands
TOTAL,5674,14697371.617857102,north and middle andaman district,2020,1,andaman-&-nicobar-islands
TOTAL,32713,134679396.90582755,south andaman district,2020,1,andaman-&-nicobar-islands
TOTAL,2911,12099543.773590054,nicobars district,2020,1,andaman-&-nicobar-islands
TOTAL,10979,22447714.061058953,north and middle andaman district,2020,2,andaman-&-nicobar-islands
TOTAL,48088,132855778.74838585,south andaman district,2020,2,andaman-&-nicobar-islands
TOTAL,3895,14341508.60470232,nicobars district,2020,2,andaman-&-nicobar-islands
TOTAL,16747,33486883.370425556,north and middle andaman district,2020,3,andaman-&-nicobar-islands
TOTAL,95323,282366109.20523936,south andaman district,2020,3,andaman-&-nicobar-islands
